order_id,customer,state,city,order_date,total_units,revenue,product_name,category_name,brand_name,store_name,sales_rep
15,"Ellsworth Michael",NY,Carmel,2016-01-09,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
26,"Jackeline Colon",NY,"Wappingers Falls",2016-01-18,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
32,"Kimbery Nieves",CA,"San Carlos",2016-01-21,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
43,"Elana Miles",NY,Liverpool,2016-01-27,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
65,"Serafina Clemons",NY,Shirley,2016-02-08,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
66,"Susannah Fields",NY,"Far Rockaway",2016-02-09,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
67,"Lazaro Moran",TX,"Sugar Land",2016-02-09,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
72,"Cesar Wilkins",CA,"San Diego",2016-02-12,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
76,"Genoveva Baldwin",NY,"Port Washington",2016-02-16,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
94,"Thurman Ellis",CA,Pleasanton,2016-02-27,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
100,"Luke Kramer",NY,Bethpage,2016-03-01,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
101,"Katheleen Marks",TX,Longview,2016-03-01,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
111,"Zulema Browning",NY,Amsterdam,2016-03-07,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
113,"Theresia Barron",NY,"Forest Hills",2016-03-08,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
114,"Mark Benton",NY,"East Elmhurst",2016-03-08,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
123,"Lecia Hancock",NY,Schenectady,2016-03-15,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
140,"Devin Velazquez",NY,Brentwood,2016-03-23,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
146,"Keturah Massey",CA,Banning,2016-03-28,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
149,"Han Schneider",NY,Elmhurst,2016-03-28,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
154,"Dione Pratt",CA,Pleasanton,2016-03-31,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
163,"Magdalena Sherman",NY,Oswego,2016-04-06,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
167,"Rico Salas",NY,Centereach,2016-04-08,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
168,"Kandace Ayers",CA,"Santa Monica",2016-04-09,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
170,"Aubrey Durham",NY,"Port Washington",2016-04-10,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
178,"Graig Roth",NY,"West Babylon",2016-04-16,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
179,"Shery Acosta",NY,"Saratoga Springs",2016-04-17,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
183,"Adelle Larsen",NY,"East Northport",2016-04-19,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
191,"Ruthanne Hoover",CA,Torrance,2016-04-27,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
193,"Trena Rogers",CA,Campbell,2016-04-28,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
196,"Tammie Cherry",NY,Massapequa,2016-04-28,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
207,"Marget Hodge",NY,Woodhaven,2016-05-05,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
208,"Leanna Manning",NY,Hicksville,2016-05-06,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
212,"Lanora Robbins",NY,"West Babylon",2016-05-08,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
215,"Kelsey Noble",NY,"Mount Vernon",2016-05-10,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
218,"Vernetta Banks",NY,Brooklyn,2016-05-12,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
233,"Melita Dominguez",NY,Auburn,2016-05-21,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
234,"Merrie Fowler",NY,Scarsdale,2016-05-22,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
254,"Faustino Delacruz",NY,"South Richmond Hill",2016-06-03,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
285,"Justin Newton",CA,"Apple Valley",2016-06-25,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
296,"Gabriela Warren",NY,"Long Beach",2016-07-04,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
309,"Gilma Dejesus",NY,Scarsdale,2016-07-11,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
321,"Arcelia Vinson",NY,"West Islip",2016-07-19,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
324,"Garland Weaver",NY,Amsterdam,2016-07-20,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
325,"Ernestina Skinner",NY,Elmhurst,2016-07-20,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
326,"Bernetta Summers",TX,Longview,2016-07-20,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Layla Terrell"
327,"Tiesha Daniel",NY,Scarsdale,2016-07-21,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
336,"Saran Moses",NY,Brooklyn,2016-07-26,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
340,"Anisha Lang",NY,Rome,2016-07-29,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
371,"Ashlie Parrish",NY,Monsey,2016-08-15,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
373,"Majorie Wyatt",NY,"South Ozone Park",2016-08-16,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
375,"Christiane Bradford",NY,"Orchard Park",2016-08-17,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
396,"Timothy Byers",NY,Ronkonkoma,2016-08-27,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
403,"Salena Day",CA,"San Lorenzo",2016-08-31,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
418,"Titus Bullock",NY,Hollis,2016-09-04,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
427,"Douglass Little",CA,Duarte,2016-09-09,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
441,"Morton Barron",CA,Bakersfield,2016-09-18,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
450,"Laurence Christian",NY,Jamaica,2016-09-21,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
462,"Lezlie Thompson",NY,Freeport,2016-09-27,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
479,"Ivette Warren",NY,"Franklin Square",2016-10-03,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
490,"Onita Macdonald",NY,"Glen Cove",2016-10-07,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
500,"Julee Woodard",NY,"Richmond Hill",2016-10-11,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
523,"Rebbecca Espinoza",NY,"Mount Vernon",2016-10-24,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
529,"Mandi Gibbs",NY,"East Elmhurst",2016-10-28,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
531,"Merlene Vinson",TX,Euless,2016-10-28,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
532,"Zelda Pratt",NY,Lancaster,2016-10-29,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
533,"Ashleigh Finch",NY,Newburgh,2016-10-29,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
536,"Cira Downs",CA,Oakland,2016-10-31,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
544,"Chere Hardin",NY,Brooklyn,2016-11-06,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
553,"Liliana Kerr",TX,Desoto,2016-11-12,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Layla Terrell"
574,"Leone Emerson",NY,Whitestone,2016-11-26,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
575,"Deloris Burke",CA,"Palos Verdes Peninsula",2016-11-27,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
585,"Alden Atkinson",NY,Shirley,2016-12-04,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
601,"Amparo Burks",NY,Merrick,2016-12-09,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
603,"Vernon Knowles",NY,"Huntington Station",2016-12-09,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
613,"Charlene Norris",NY,Syosset,2016-12-17,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
633,"Shantae Hammond",TX,Victoria,2016-12-28,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
634,"Santos Valencia",NY,Sunnyside,2016-12-29,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
646,"Annis Sanchez",CA,"Los Angeles",2017-01-09,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
698,"Jasmin Young",TX,Helotes,2017-02-06,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
740,"Kendra Harrington",NY,Jamestown,2017-02-28,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
752,"Scarlet Reed",NY,Bronx,2017-03-05,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
754,"Ann Heath",CA,"South El Monte",2017-03-06,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
765,"Tuyet Rosa",CA,"South El Monte",2017-03-09,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
844,"Macie Ayers",NY,Bellmore,2017-04-16,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
889,"Edmund Gaines",TX,"Copperas Cove",2017-05-14,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
902,"Loan Graham",NY,"Jackson Heights",2017-05-21,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
971,"Londa Gould",TX,"Corpus Christi",2017-06-22,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
979,"Romeo Steele",NY,"Port Jefferson Station",2017-06-26,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
984,"Victor Pittman",NY,Astoria,2017-06-27,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
988,"Honey Camacho",NY,Bayside,2017-07-02,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
1036,"Cassie Cline",NY,Brooklyn,2017-07-30,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
1055,"Cleopatra Tate",NY,"East Elmhurst",2017-08-12,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
1062,"Shawnna Frank",NY,Woodside,2017-08-15,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
1066,"Raul Melendez",NY,Elmhurst,2017-08-17,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
1100,"Trista Lambert",NY,Fairport,2017-08-28,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
1159,"Joy Underwood",CA,"Apple Valley",2017-10-01,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
1162,"Coleen Navarro",NY,Webster,2017-10-01,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
1208,"Qiana Jackson",NY,"East Northport",2017-10-26,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
1248,"Lucile Manning",CA,Campbell,2017-11-16,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
1333,"Minerva Decker",TX,Houston,2018-01-06,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
1458,"Ping Quinn",TX,Rowlett,2018-03-20,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
1539,"Merlene Vinson",TX,Euless,2018-04-15,2,1099.98,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Layla Terrell"
1553,"Jamaal Albert",CA,Torrance,2018-04-18,1,549.99,"Electra Townie Original 21D - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
13,"Patience Clayton",NY,"Niagara Falls",2016-01-08,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
16,"Lea Key",CA,Banning,2016-01-12,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
23,"Drucilla Gilliam",CA,"Santa Clara",2016-01-16,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
43,"Elana Miles",NY,Liverpool,2016-01-27,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
47,"Joshua Berg",NY,Ossining,2016-01-29,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
49,"Taisha Vang",NY,Shirley,2016-01-31,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
50,"Silas Tate",TX,"Corpus Christi",2016-01-31,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
51,"Jamaal Baker",NY,Elmhurst,2016-02-01,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
57,"Dalia Carson",NY,Rochester,2016-02-04,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
68,"Kristen Alvarez",NY,Bronx,2016-02-10,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
72,"Cesar Wilkins",CA,"San Diego",2016-02-12,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
91,"Catrice Hicks",CA,"San Pablo",2016-02-25,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
99,"Rikki Morrow",TX,"Fort Worth",2016-02-29,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Layla Terrell"
106,"Valery Saunders",TX,Victoria,2016-03-04,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Layla Terrell"
107,"Kiara Deleon",CA,Anaheim,2016-03-06,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
114,"Mark Benton",NY,"East Elmhurst",2016-03-08,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
120,"Sharie Alvarez",NY,"New York",2016-03-14,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
133,"Jerome Bolton",NY,Carmel,2016-03-20,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
159,"Araceli Golden",CA,Fullerton,2016-04-04,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Mireya Copeland"
167,"Rico Salas",NY,Centereach,2016-04-08,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
179,"Shery Acosta",NY,"Saratoga Springs",2016-04-17,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
198,"Allison Nolan",NY,"New City",2016-05-01,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
209,"Clarita Curry",NY,Hollis,2016-05-07,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
210,"Lynn Mcmahon",NY,Scarsdale,2016-05-07,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
213,"Lilliam Nolan",TX,"Copperas Cove",2016-05-08,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Rowlett Bikes","Kali Vargas"
218,"Vernetta Banks",NY,Brooklyn,2016-05-12,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
235,"Eli Contreras",NY,Ronkonkoma,2016-05-24,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
238,"Annett Rush",NY,Rosedale,2016-05-26,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
248,"Kimberley Reynolds",NY,"Port Washington",2016-05-30,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
257,"Joeann Garrison",CA,Ontario,2016-06-05,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
271,"Christoper Mccall",NY,"Bay Shore",2016-06-13,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
277,"Thad Castro",NY,Brentwood,2016-06-19,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
278,"Raven Curtis",CA,Lawndale,2016-06-20,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Santa Cruz Bikes","Genna Serrano"
280,"Tomeka Higgins",NY,Poughkeepsie,2016-06-21,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
289,"Phyllis Hill",NY,Syosset,2016-06-27,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
317,"Mariam Miranda",NY,"Franklin Square",2016-07-17,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
318,"Mallie Osborn",NY,Newburgh,2016-07-17,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Venita Daniel"
322,"Lea Irwin",NY,"New Windsor",2016-07-19,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
323,"Heide Reed",NY,"Floral Park",2016-07-19,2,539.98,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
327,"Tiesha Daniel",NY,Scarsdale,2016-07-21,1,269.99,"Electra Cruiser 1 (24-Inch), - 2016","Cruisers Bicycles",Electra,"Baldwin Bikes","Marcelene Boyer"
